datetime,solar_forecast_kw,load_kw,price_usd_kwh,p_grid_kw,p_ch_kw,p_dis_kw,p_curtail_kw,soc_kwh,model
2024-09-29 09:30:00,0.0,50.0,0.15,45.48220239383123,2.2953890378771753e-08,4.517797629116119,-6.5439702389313e-12,112.61630976380754,Persistence
2024-09-29 10:30:00,0.0,45.0,0.15,40.55651024284158,2.296517417561089e-08,4.443489780117043,-6.5437106176453495e-12,107.93895212234335,Persistence
2024-09-29 11:30:00,0.0,41.33974596215561,0.15,36.91873267374728,2.2969076255834112e-08,4.421013311370863,-6.5437004562040504e-12,103.28525392166834,Persistence
2024-09-29 12:30:00,0.0,40.0,0.15,35.52989269282698,2.29618358390058e-08,4.470107330128314,-6.543758835633006e-12,98.57987780650492,Persistence
2024-09-29 13:30:00,0.0,41.33974596215561,0.15,36.729009348816646,2.2941527011457943e-08,4.610736636273946,-6.5438103588049385e-12,93.72647084274786,Persistence
2024-09-29 14:30:00,0.0,45.0,0.15,40.14393822348675,2.291006117879381e-08,4.856061799416769,-6.543918547226456e-12,88.61482686512633,Persistence
2024-09-29 15:30:00,10.526315788924059,50.0,0.15,34.425770111940686,2.289200276028117e-08,5.047914124073676,2.046412698441396e-09,83.30123307205933,Persistence
2024-09-29 16:30:00,30.82706766756333,55.0,0.45,9.402427051773411e-10,2.250073694792515e-08,24.172932356042182,2.0450145569271425e-09,57.85604113970641,Persistence
2024-09-29 17:30:00,50.469924809394854,58.66025403784439,0.45,9.392932890753125e-10,2.273395789221767e-08,8.190329252293143,2.0489404149251414e-09,49.23464194836352,Persistence
2024-09-29 18:30:00,66.35338345518205,60.0,0.45,8.881463240262687e-10,6.353383476639902,2.2856317714651e-08,2.286616406899112e-09,55.270356227112146,Persistence
2024-09-29 19:30:00,77.16165413130945,58.66025403784439,0.45,8.872275295158828e-10,18.5014001146701,2.2609673063742307e-08,2.2918572499994544e-09,72.84668631224908,Persistence
2024-09-29 20:30:00,81.6729323265626,55.0,0.45,8.869100449873142e-10,26.67293234770222,2.254650226588542e-08,2.2937988524456527e-09,98.18597201883304,Persistence
2024-09-29 21:30:00,79.79323307854045,50.0,0.45,8.867973313577514e-10,29.793233099653897,2.2521217651594924e-08,2.294576970576026e-09,126.48954343979767,Persistence
2024-09-29 22:30:00,71.52255638724297,45.0,0.15,2.2246055117765086e-08,26.52255642973487,2.254015800677854e-08,2.2943197822756118e-09,151.68597202431934,Persistence
2024-09-29 23:30:00,57.33082706467572,41.33974596215562,0.15,2.236600090088087e-08,15.991081145218747,2.2624160849733853e-08,2.2915137417926673e-09,166.87749908846223,Persistence
2024-09-30 00:30:00,39.00375939645971,40.0,0.15,0.4975160717808857,2.552109834908408e-08,0.498724559345333,2.0648345971163727e-09,166.35252589234378,Persistence
2024-09-30 01:30:00,18.421052630617112,41.33974596215562,0.15,15.928581368533319,2.275654453706273e-08,6.990111987810343,2.048610685134424e-09,158.99451329521477,Persistence
2024-09-30 02:30:00,1.59774436081883,45.0,0.15,36.7848603101998,2.2756127564590002e-08,6.617395353770507,2.032997346475213e-09,152.02883399707466,Persistence
2024-09-30 03:30:00,0.0,50.0,0.15,44.33388959661242,2.2815205786735278e-08,5.666110426196249,-6.54398825760247e-12,146.064507254332,Persistence
2024-09-30 04:30:00,0.0,55.0,0.15,49.90544314812982,2.286300527827171e-08,5.094556874726636,-6.5444876702931775e-12,140.70181582897118,Persistence
2024-09-30 05:30:00,0.0,58.66025403784439,0.15,53.94535212090255,2.290217436437357e-08,4.714901939837471,-6.5450307813025396e-12,135.7387611772151,Persistence
2024-09-30 06:30:00,0.0,60.0,0.15,55.5603227478779,2.2935606481120353e-08,4.4396772750511575,-6.545259692374998e-12,131.0654166989501,Persistence
2024-09-30 07:30:00,0.0,58.66025403784439,0.15,54.431103205973045,2.2964781588569973e-08,4.229150854829583,-6.545049518411603e-12,126.61367897884074,Persistence
2024-09-30 08:30:00,0.0,55.0,0.15,50.93616789453804,2.299036959995579e-08,4.063832128445795,-6.5445173986869495e-12,122.33596097073865,Persistence
